Caltech Behavior Annotator - Annotation File

Configuration file:
base	z
aggression	a
freezing	f
lateralthreat	l
keepdown	d
chase	c
uprightposture	u
social	s
bite	b
nonsocial	e
clinch	j

S1:	start	end	type
-----------------------------
   	1	343	base
   	344	360	nonsocial
   	361	589	social
   	590	629	nonsocial
   	630	842	social
   	843	861	nonsocial
   	862	910	social
   	911	1044	nonsocial
   	1045	1137	social
   	1138	1189	nonsocial
   	1190	1203	social
   	1204	1505	aggression
   	1506	1523	social
   	1524	1546	nonsocial
   	1547	1603	social
   	1604	1840	nonsocial
   	1841	1892	social
   	1893	2099	aggression
   	2100	2217	nonsocial
   	2218	2263	social
   	2264	2288	nonsocial
   	2289	2312	social
   	2313	2441	nonsocial
   	2442	2515	social
   	2516	2574	nonsocial
   	2575	2585	social
   	2586	2657	aggression
   	2658	2877	nonsocial
   	2878	2886	social
   	2887	3125	nonsocial
   	3126	3131	social
   	3132	3181	nonsocial
   	3182	3195	social
   	3196	3389	nonsocial
   	3390	3410	social
   	3411	3561	nonsocial
   	3562	3768	social
   	3769	4027	nonsocial
   	4028	4038	social
   	4039	4085	nonsocial
   	4086	4215	aggression
   	4216	4265	social
   	4266	4372	nonsocial
   	4373	4452	aggression
   	4453	4642	nonsocial
   	4643	4655	social
   	4656	4757	nonsocial
   	4758	5074	aggression
   	5075	5249	nonsocial
   	5250	5255	social
   	5256	5507	nonsocial
   	5508	5513	social
   	5514	5585	nonsocial
   	5586	5632	social
   	5633	5817	nonsocial
   	5818	5849	social
   	5850	5943	nonsocial
   	5944	6263	social
   	6264	6320	nonsocial
   	6321	6357	social
   	6358	6434	nonsocial
   	6435	6617	social
   	6618	7727	aggression
   	7728	7781	social
   	7782	7788	nonsocial
   	7789	7952	social
   	7953	8035	nonsocial
   	8036	8135	social
   	8136	8549	nonsocial
   	8550	8561	social
   	8562	8590	nonsocial
   	8591	8715	social
   	8716	8793	nonsocial
   	8794	8837	social
   	8838	9076	aggression
   	9077	9127	nonsocial
   	9128	9184	social
   	9185	9286	nonsocial
   	9287	9802	social
   	9803	9920	nonsocial
   	9921	10179	social
   	10180	10588	nonsocial
   	10589	10635	social
   	10636	10744	nonsocial
   	10745	10748	social
   	10749	10830	nonsocial
   	10831	10913	social
   	10914	11230	aggression
   	11231	11377	social
   	11378	11654	aggression
   	11655	11711	social
   	11712	11823	nonsocial
   	11824	12175	aggression
   	12176	12343	social
   	12344	13535	base
  
S2:	start	end	type
-----------------------------
   	1	1203	base
   	1204	1210	lateralthreat
   	1211	1238	bite
   	1239	1279	lateralthreat
   	1280	1350	clinch
   	1351	1371	keepdown
   	1372	1450	clinch
   	1451	1505	lateralthreat
   	1506	1892	base
   	1893	1904	lateralthreat
   	1905	1914	bite
   	1915	1955	lateralthreat
   	1956	1961	clinch
   	1962	1991	lateralthreat
   	1992	2017	chase
   	2018	2023	lateralthreat
   	2024	2036	clinch
   	2037	2046	chase
   	2047	2099	lateralthreat
   	2100	2585	base
   	2586	2617	lateralthreat
   	2618	2629	clinch
   	2630	2657	lateralthreat
   	2658	4085	base
   	4086	4093	lateralthreat
   	4094	4145	clinch
   	4146	4163	keepdown
   	4164	4193	clinch
   	4194	4215	lateralthreat
   	4216	4372	base
   	4373	4389	lateralthreat
   	4390	4398	clinch
   	4399	4452	lateralthreat
   	4453	4757	base
   	4758	4952	lateralthreat
   	4953	5035	clinch
   	5036	5074	lateralthreat
   	5075	6617	base
   	6618	6643	lateralthreat
   	6644	6794	clinch
   	6795	6882	keepdown
   	6883	6893	clinch
   	6894	6912	lateralthreat
   	6913	7043	clinch
   	7044	7074	keepdown
   	7075	7107	clinch
   	7108	7148	lateralthreat
   	7149	7183	clinch
   	7184	7210	lateralthreat
   	7211	7289	clinch
   	7290	7315	freezing
   	7316	7412	clinch
   	7413	7430	lateralthreat
   	7431	7449	clinch
   	7450	7474	keepdown
   	7475	7488	clinch
   	7489	7690	keepdown
   	7691	7727	lateralthreat
   	7728	8837	base
   	8838	8855	uprightposture
   	8856	8865	clinch
   	8866	8880	uprightposture
   	8881	8918	clinch
   	8919	8942	keepdown
   	8943	8968	clinch
   	8969	9022	lateralthreat
   	9023	9052	clinch
   	9053	9076	lateralthreat
   	9077	10913	base
   	10914	10943	clinch
   	10944	10948	lateralthreat
   	10949	10980	clinch
   	10981	11010	keepdown
   	11011	11071	clinch
   	11072	11216	keepdown
   	11217	11230	lateralthreat
   	11231	11377	base
   	11378	11386	lateralthreat
   	11387	11421	clinch
   	11422	11429	lateralthreat
   	11430	11508	clinch
   	11509	11532	lateralthreat
   	11533	11619	clinch
   	11620	11654	lateralthreat
   	11655	11823	base
   	11824	11852	clinch
   	11853	12175	keepdown
   	12176	13535	base
  
