Caltech Behavior Annotator - Annotation File

Configuration file:
base	z
aggression	a
freezing	f
lateralthreat	l
keepdown	d
chase	c
uprightposture	u
social	s
bite	b
nonsocial	e
clinch	j

S1:	start	end	type
-----------------------------
   	1	1138	base
   	1139	1698	social
   	1699	1797	nonsocial
   	1798	1894	social
   	1895	2008	nonsocial
   	2009	2150	social
   	2151	2421	nonsocial
   	2422	2479	social
   	2480	2533	nonsocial
   	2534	2852	social
   	2853	2906	nonsocial
   	2907	3221	social
   	3222	3389	nonsocial
   	3390	3441	social
   	3442	3489	nonsocial
   	3490	3574	social
   	3575	3614	nonsocial
   	3615	3749	social
   	3750	3810	aggression
   	3811	3820	social
   	3821	3954	nonsocial
   	3955	4032	social
   	4033	4173	aggression
   	4174	4210	social
   	4211	4401	nonsocial
   	4402	4791	social
   	4792	4857	aggression
   	4858	4924	social
   	4925	4949	nonsocial
   	4950	4967	social
   	4968	5174	aggression
   	5175	5198	social
   	5199	5239	nonsocial
   	5240	5471	aggression
   	5472	5505	social
   	5506	5639	nonsocial
   	5640	5659	social
   	5660	5831	nonsocial
   	5832	5852	aggression
   	5853	5884	social
   	5885	5946	nonsocial
   	5947	6133	aggression
   	6134	6198	social
   	6199	7102	nonsocial
   	7103	7160	social
   	7161	7552	aggression
   	7553	7638	social
   	7639	7691	aggression
   	7692	7838	nonsocial
   	7839	7913	social
   	7914	8327	aggression
   	8328	8351	social
   	8352	8409	nonsocial
   	8410	8450	social
   	8451	8483	nonsocial
   	8484	8549	social
   	8550	8695	nonsocial
   	8696	8708	social
   	8709	8812	nonsocial
   	8813	8882	social
   	8883	9188	aggression
   	9189	9306	social
   	9307	9445	aggression
   	9446	9485	social
   	9486	9637	nonsocial
   	9638	9711	social
   	9712	9837	nonsocial
   	9838	10121	social
   	10122	10352	aggression
   	10353	10420	nonsocial
   	10421	10545	aggression
   	10546	10608	nonsocial
   	10609	10674	social
   	10675	10837	nonsocial
   	10838	10855	social
   	10856	10878	nonsocial
   	10879	11030	social
   	11031	11072	nonsocial
   	11073	11083	social
   	11084	11107	nonsocial
   	11108	11213	social
   	11214	11378	aggression
   	11379	11397	nonsocial
   	11398	11440	social
   	11441	11562	aggression
   	11563	11733	nonsocial
   	11734	11762	social
   	11763	11898	nonsocial
   	11899	11987	social
   	11988	12236	nonsocial
   	12237	12582	social
   	12583	12747	nonsocial
   	12748	12775	social
   	12776	12818	nonsocial
   	12819	12999	social
   	13000	13041	nonsocial
   	13042	13079	social
   	13080	13138	nonsocial
   	13139	14758	base
  
S2:	start	end	type
-----------------------------
   	1	3749	base
   	3750	3810	lateralthreat
   	3811	4032	base
   	4033	4173	lateralthreat
   	4174	4791	base
   	4792	4802	lateralthreat
   	4803	4851	uprightposture
   	4852	4857	clinch
   	4858	4967	base
   	4968	4985	lateralthreat
   	4986	4994	uprightposture
   	4995	5012	clinch
   	5013	5081	lateralthreat
   	5082	5115	uprightposture
   	5116	5147	lateralthreat
   	5148	5165	uprightposture
   	5166	5174	clinch
   	5175	5239	base
   	5240	5255	lateralthreat
   	5256	5276	clinch
   	5277	5338	lateralthreat
   	5339	5377	clinch
   	5378	5471	lateralthreat
   	5472	5831	base
   	5832	5852	clinch
   	5853	5946	base
   	5947	5986	lateralthreat
   	5987	6059	clinch
   	6060	6120	uprightposture
   	6121	6133	clinch
   	6134	7160	base
   	7161	7178	lateralthreat
   	7179	7216	clinch
   	7217	7291	lateralthreat
   	7292	7301	clinch
   	7302	7355	lateralthreat
   	7356	7372	clinch
   	7373	7455	lateralthreat
   	7456	7538	clinch
   	7539	7552	lateralthreat
   	7553	7638	base
   	7639	7654	lateralthreat
   	7655	7667	uprightposture
   	7668	7691	clinch
   	7692	7913	base
   	7914	7931	lateralthreat
   	7932	7953	clinch
   	7954	7999	keepdown
   	8000	8130	clinch
   	8131	8309	keepdown
   	8310	8327	lateralthreat
   	8328	8882	base
   	8883	8905	lateralthreat
   	8906	8952	clinch
   	8953	9005	keepdown
   	9006	9119	clinch
   	9120	9140	keepdown
   	9141	9173	clinch
   	9174	9188	lateralthreat
   	9189	9306	base
   	9307	9316	lateralthreat
   	9317	9445	clinch
   	9446	10121	base
   	10122	10130	lateralthreat
   	10131	10156	clinch
   	10157	10175	lateralthreat
   	10176	10198	clinch
   	10199	10219	lateralthreat
   	10220	10317	clinch
   	10318	10352	lateralthreat
   	10353	10420	base
   	10421	10441	lateralthreat
   	10442	10507	clinch
   	10508	10545	lateralthreat
   	10546	11213	base
   	11214	11273	lateralthreat
   	11274	11320	clinch
   	11321	11340	keepdown
   	11341	11350	clinch
   	11351	11378	lateralthreat
   	11379	11440	base
   	11441	11465	lateralthreat
   	11466	11562	clinch
   	11563	14758	base
  
